"ingredient_id","ingredient_name","category_id"
NL1270,Mỡ chài miếng lớn,N02
NL1272,Nấm mỡ,N08
NL1276,Đậu hũ trắng vuông,N02
NL1279,Bacon hun khói,N02
NL1213,Phô mai,N02
NL1280,Măng tây tươi,N02
NL1283,Nước dừa tươi chén,N02
NL1284,Trân châu đen khô,N02
NL1286,Dụng cụ bình lắc,N02
NL129,Táo đỏ táo tàu,N02
NL1290,Bông cải,N02
NL1291,Thịt bò nạm,N13
NL1292,Thịt bò bắp hoa,N13
NL1293,Bò viên,N13
NL1294,Hạt chia,N02
NL1295,Bột trứng custard,N02
NL1297,Ngưu bàng Gô bô,N02
NL1298,Bò lát chay,N13
NL1299,Poa rô,N02
NL13,Hoa thiên lý,N02
NL130,Nấm rơm,N08
NL1300,bún nưa shirataki,N10
NL1301,Củ hủ dừa tươi,N03
NL1302,Bao tử heo làm sạch,N09
NL1304,Chuối sứ chín kỹ,N02
NL1308,Dừa nạo chọn phần trắng,N02
NL1309,Vỏ bánh Gyoza,N02
NL131,Nước dừa tươi,N02
NL1310,Ốc mỡ lựa con to và tươi,N17
NL1312,Đùi tỏi gà,N06
NL1313,Nước ép táo hộp súp,N02
NL1314,Bò lát Nhật chay,N13
NL1315,Cũ hũ dừa,N02
NL1317,Nem chua chay,N02
NL1319,Đậu hũ mơ,N02
NL132,Dứa,N02
NL1320,Su hào bắc,N02
NL1321,Củ cải đường củ radi,N03
NL1322,Dưa leo Nhật trái nhỏ,N02
NL1324,Màu điều,N02
NL1325,Chân gà chẻ đôi,N06
NL1327,Nước dừa tươi cơm,N02
NL133,Phúc bồn tử,N02
NL1334,Bột cà ry,N02
NL1335,bông so đũa vàng,N02
NL1337,Sườn sụn,N02
NL1338,Nước dừa ̉,N02
NL1339,Hến thịt,N02
NL134,Hạnh nhân lát,N02
NL1340,Thịt nạc vai,N02
NL1342,Rau chùm ngây nhặt sạch,N08
NL1343,Chuối cau,N02
NL1344,Tinh dầu chuối,N02
NL1345,Nho khô màu vàng đẹp,N02
NL1346,Kẹo đường hình ngôi sao nhiều màu,N02
NL1347,Whipping cream loại bông kem đã đánh sẵn,N02
NL1348,Vỏ cam vàng,N02
NL1349,Khuôn hình ngôi sao,N02
NL135,Dùng kèm Trà sữa Royal Blendy,N02
NL1523,Giấm gạo,N19
NL1352,Dưa cải chua,N02
NL1353,Khoai sọ,N02
NL1354,Cháo đặc,N02
NL1355,bắp,N02
NL1356,bí đao,N02
NL1357,su su,N02
NL1358,poarô,N02
NL136,Cánh gà,N06
NL1361,Lá cách Lá nghệ,N02
NL1366,Bún sợi to,N10
NL1367,Dụng cụ Giấy bạc,N02
NL1369,Quýt ngọt,N02
NL1372,Cánh gà không lấy phần tỏi gà,N06
NL1373,Ngưu bàng,N02
NL1374,Củ cải muối,N03
NL1378,Yến mạch,N02
NL1381,Bột baking soda,N02
NL1382,Bún mè đen loại khô,N10
NL1384,Bột báng,N02
NL1386,Nước lá dứa,N02
NL1387,Nước dành dành,N02
NL1392,Dừa sợi,N02
NL1395,Bột mỳ,N02
NL1396,Mứt dâu tây,N02
NL1397,Thịt đùi ếch,N11
NL1398,Sườn cốt lết chay,N02
NL140,Cần nước,N02
NL1538,dưa leo cà chua,N05
NL1404,Dưa cải chua chọn phần cọng nhiều,N02
NL1405,Bột bánh cuốn,N02
NL1406,Lòng vịt,N14
NL1407,Màu nước dành dành,N02
NL1412,Lá thơm nguyệt quế ́,N02
NL1415,bột ớt paprika,N02
NL1424,Ô liu đen không hạt,N02
NL1427,Thịt đùi bê thui,N02
NL1429,Sụn heo,N09
NL1430,Cà tím nhỏ,N02
NL1433,Khoai tây tím,N02
NL1435,Chả Huế cây,N02
NL1436,Nạm bò,N13
NL1437,Bún bò tươi,N13
NL1438,Kim chi Hàn Quốc lấy nước kim chi,N02
NL1440,Chả chay,N02
NL1441,Nước ngọt Coca,N02
NL1442,Thịt hàu sữa con nhỏ,N02
NL1443,Củ cải,N03
NL1444,Bột mì đa dụng,N02
NL1446,Kim chi,N02
NL1447,Nước kim chi,N02
NL1449,Rong biển,N02
NL145,Đậu hũ,N02
NL1450,Giò sống gà chay,N06
NL1451,Giò sống chay vị heo,N09
NL1452,rau tiến vua khô,N08
NL1453,Lọ thủy tinh,N02
NL1454,Tre chẻ để gài,N02
NL1455,Ba rọi rút sườn,N02
NL1456,Đọt su,N02
NL1457,Vịt,N14
NL146,Đậu que,N02
NL1460,Rễ thì là,N02
NL1462,Phèn chua,N02
NL1463,chuối hột,N02
NL1464,Thịt nạc thăn,N02
NL1466,Thịt ba chỉ quay,N02
NL1467,tiêu sọ,N02
NL1468,Vỏ bưởi,N02
NL1469,Thính gạo,N12
NL147,Khoai môn cau,N02
NL1471,màu hồng thực phẩm,N02
NL1472,tiêu đen,N02
NL1473,Đậu cô ve,N02
NL1475,Đậu rồng,N02
NL1477,thịt bò chay,N13
NL1479,Đậu hũ miếng vuông nhỏ,N02
NL148,Lá dứa loại nhỏ,N02
NL1480,Củ sắn Mía lau,N03
NL1484,Giấm,N02
NL1486,Tổ ong bò,N13
NL1487,Khoai tây đỏ,N02
NL1488,Nước dão dừa,N02
NL1489,Thịt bê thui,N02
NL1490,Đậu cove,N02
NL1492,Dưa gừng,N02
NL1493,Mỡ chài,N02
NL1494,Mỡ hành,N02
NL1496,Khoai cao,N02
NL1499,Hải sâm chay,N02
NL14996,Đậu đỏ khô,N02
NL1500,Hạt điều,N02
NL1505,Ruốc tươi,N02
NL1506,Bắp hạt đông lạnh,N02
NL1507,Dưa leo to,N02
NL151,Đậu bắp,N02
NL1511,Đu đủ,N02
NL1522,Bưởi năm roi,N02
NL1368,Cua biển,N21
NL1410,Chanh ̉,N05
NL1434,Trứng vịt muối,N02
NL1524,Heo quay,N09
NL1527,Đậu đỏ tươi,N02
NL1528,Đậu trắng tươi,N02
NL1529,Me tươi,N02
NL1685,Nấm bạch tuyết,N08
NL1530,Thịt dê,N02
NL1531,Rau thơm tía tô,N08
NL1532,kèo nèo,N02
NL1533,Bắp chuối hột,N02
NL160,Ngò gai,N18
NL15,Ớt,N05
NL1539,Bông cả,N02
NL1540,rau lang,N08
NL1541,Bọng gà,N06
NL1545,bao rô,N02
NL1546,Khoai tây bi,N02
NL1547,Lá thơm,N02
NL1548,sữa bột,N02
NL1549,cà chua hộp,N05
NL1550,bột bò kho,N13
NL1551,Bồ câu,N02
NL1552,Củ riêng,N03
NL1554,Lá mè,N02
NL1557,Kem sữa tươi topping,N02
NL1558,Phi lê bò,N13
NL1563,Tương ớt Hàn Quốc,N02
NL1566,Chuối sứ chín,N02
NL1567,Bơ đậu phộng súp,N02
NL157,Đậu hũ bi,N02
NL1570,Bún chùm ngây khô,N10
NL1572,Lá me đất,N02
NL1573,Ớt satế,N02
NL1575,Đậu đũa,N02
NL158,Bún tàu,N10
NL1580,Bột rau câu jelly,N08
NL1581,ly cooktail,N02
NL1585,Ốc cà na,N17
NL1588,chuối,N02
NL1589,hạt bí,N02
NL159,Rau om,N08
NL1590,hạt dưa,N02
NL1597,Thịt đầu heo,N09
NL1598,Mía,N02
NL1602,Ngồng tỏi,N02
NL1604,Trứng Bắc Thảo,N02
NL1605,Táo tàu không hạt,N02
NL1608,Ốc hương,N17
NL1609,Ốc giác,N17
NL161,Đậu phộng,N02
NL1610,Nước soda,N02
NL1612,Quế thanh nhỏ,N02
NL1614,ớt bột parika tiêu,N02
NL1615,Dầu salad,N02
NL1616,Bột há cảo,N02
NL1617,Bắp trái mỹ,N02
NL1619,Cà chua bi ̉,N05
NL162,Sả,N02
NL1621,ớt bột parika,N02
NL1625,Hoa Thanh long khô,N02
NL1626,Táo mật,N02
NL1627,Trái sung khô,N02
NL1628,Rong biểm wakame,N02
NL1630,Đọt su su,N02
NL1631,Tép bạc nhỏ,N02
NL1632,Ruốc khô,N02
NL1633,Gà ta mổ moi khoảng,N06
NL1635,Nụ bí giống Nhật,N02
NL1647,Củ nén bằm nhỏ,N03
NL165,Tăm ghim,N02
NL1650,Kem làm bánh topping cream,N02
NL1652,siro dâu,N02
NL1653,Bánh phở sợi to,N10
NL1654,Bí đỏ tròn cỡ vừa,N02
NL1655,Bí đỏ miếng,N02
NL1656,Bánh canh bột gạo,N12
NL1658,Khoai mỡ,N02
NL166,Gà ta nửa con,N06
NL1660,Cam mật,N02
NL1661,Bánh mì burger,N16
NL1662,Bắp mỹ nguyên hạt,N02
NL1668,Thịt lươn,N02
NL1669,Nước táo hộp,N02
NL1670,Me chín,N02
NL1671,me,N02
NL1673,Bắp hạt,N02
NL1674,Thịt bắp đùi heo,N09
NL1676,Sườn bò,N13
NL1677,Dầu ớt,N02
NL1678,Trứng ga nhỏ,N02
NL1679,Nấm nút,N08
NL1681,Đùi ếch tươi to,N11
NL1683,Phô mai,N02
NL1684,Mộc nhĩ,N02
NL1686,Viên thả lẩu bánh bao hải sản nhiều màu,N02
NL1688,Cốt tắc và quả tắc,N05
NL1693,Dưa leo giống Nhật,N02
NL1695,quả tắc,N05
NL1699,Mẻ đã lọc,N02
NL17,Bột canh,N02
NL1700,Thịt đà điểu,N02
NL1701,Lá cách,N02
NL16,Hành phi,N19
NL1702,Lê Hàn quốc,N02
NL1703,Thịt bê,N02
NL1704,Rau húng lũi,N08
NL1792,Bánh mì sandwich,N02
NL1709,Tương đỏ,N02
NL171,Nấm kim châm,N08
NL1710,Tép làm sạch,N02
NL1712,Quế chi cỡ ngón tay,N02
NL1716,Tương đậu nành loại vàng,N02
NL172,lá chúc,N02
NL1720,Củ cải đỏ củ rađi,N03
NL1722,Dụng cụ Khuôn bánh giò,N02
NL1764,Gạo,N12
NL174,Nấm hương,N08
NL1727,dầu oliu,N02
NL1731,Mực khô nhỏ,N07
NL1734,Bột demiglace,N02
NL1736,Thịt ốc bưu,N17
NL1738,Ghẹ làm sạch,N02
NL1741,lá Oregano khô,N02
NL1742,Bột bánh bao,N02
NL1743,Củ năng gọt sạch vỏ,N03
NL1746,kem sữa béo,N02
NL1747,Mắm bò hóc,N13
NL1748,Cà pháo,N02
NL1749,Cải chua cọng,N02
NL1751,Tép mỡ chay,N02
NL1753,Nước dùng Củ cải trắng,N03
NL1754,Cải rổ,N02
NL1756,Chả lụa,N02
NL1757,cà chua cô đặc hộp,N05
NL1759,Me vắt không hạt,N02
NL176,ngò rí,N02
NL1760,trái dưa leo,N02
NL1761,khoai tây cây đông lạnh,N02
NL1762,Lá sách bò,N13
NL1763,Gấc,N02
NL1766,Nạm bò Úc,N13
NL1772,Bánh đa đỏ,N02
NL1774,Rau cần,N08
NL1775,rau kinh giới,N08
NL1776,nước nắm,N02
NL1779,Mắm tép chua,N02
NL1780,Dưa kiệu,N02
NL1781,Nui ống,N02
NL1784,Đuôi heo,N09
NL1786,Củ kiệu,N03
NL17862,Trứng gà luộc trứng gà từ nước nóng khoảng,N19
NL1787,Thịt bò bắp,N13
NL1788,Lá chuối hột,N02
NL1789,dây lạt,N02
NL179,Tương hột,N02
NL1790,tiêu hạt,N02
NL1791,Đậu cô ve Nhật,N02
NL1793,Bánh ướt không nhân,N02
NL1796,Ô liu đen,N02
NL1797,Rau thì là,N08
NL1798,khuôn tròn không đáy đường kính,N02
NL1799,Hàu sữa sống,N02
NL1800,Sườn cốt lết,N02
NL1801,Nước dảo dừa,N02
NL1802,Cary dầu,N02
NL1807,Gạo nếp,N12
NL1812,Patê,N02
NL1813,Ô liêu đen,N02
NL1814,Khô mực,N07
NL1815,Hoành thánh,N02
NL1816,Nước kim chi súp,N02
NL1817,Thit nguội chay,N02
NL1818,Hoa sen,N02
NL1819,Thịt nguội chay,N02
NL1821,Nui sao,N02
NL1823,Bột mì chén,N02
NL1825,Bông atiso,N02
NL1827,Rau đay,N08
NL1828,Bao tử,N02
NL1829,Nui tròn loại nhỏ,N02
NL1830,Dưa lưới nhỏ,N02
NL1831,Lá cẩm,N02
NL1832,Bánh đa sợi to,N02
NL1833,ketchup,N02
NL1834,Gạo tẻ,N12
NL1836,Hành tim phi,N02
NL1837,Đậu ve nhật,N02
NL1838,cải trắng,N02
NL1841,Cải ngọt cải thìa,N02
NL1842,Thịt gấc,N02
NL1843,Vỏ cam,N02
NL1844,Bắp mỹ vàng,N02
NL1845,Mayo,N02
NL1846,Quả sấu,N05
NL1850,Cọng bông súng,N02
NL1851,Sườn chay lát to,N02
NL1852,Mắm chay,N02
NL1854,Salad carol,N02
NL1856,Ham lát,N02
NL1857,Tai heo mềm,N09
NL1859,Chả quết heoGiò sống,N02
NL1860,Lá hương thảo tươi dài,N02
NL1861,Ốc mỡ,N17
NL1863,Tương cà chua,N05
NL1864,Mỳ Ý,N02
NL187,Lá lốt,N02
NL1773,Cua đồng,N21
NL1870,Hạt nêm Heo,N09
NL1873,Canh sườn khoai sọ,N02
NL1874,Mề gà trưởng thành,N06
NL1875,Canh tôm chua cay,N04
NL1877,Táo đỏ không hạt,N02
NL1878,Cà bi,N02
NL1880,Canh chua bông thiên lý,N02
NL1884,Bún tàu nhỏ,N10
NL1886,Bầu,N02
NL1887,Kho quẹt,N02
NL189,Thịt ba chỉ,N02
NL1890,Bò Sirlion Úc miếng,N13
NL1891,Bắp hạt vàng,N02
NL1892,Blendy Trà đào cam sả,N02
NL1893,Đào hộp lấy đào không lấy nước,N02
NL1894,Bột rau câu dẻo,N08
NL1895,Đá viên,N02
NL1896,Trà Đào hương Cam Sả Blendy,N02
NL1898,Cà Paste hộp,N02
NL19,Dưa gang muối chua,N02
NL190,Mè đen,N02
NL1901,Kem vani,N02
NL1902,Syrup socola,N02
NL1903,Hem chay,N02
NL1905,Mẹt tre,N02
NL1912,Thịt heo ba chỉ Mua nguyên khối,N09
NL1914,Củ hồi,N03
NL1918,Nước dão,N02
NL1920,Cà phê pha sẵn loại gói to,N02
NL1921,Bánh quế socola,N02
NL1923,Củ mài khoai mài hay củ hoài sơn,N03
NL1926,Thịt má heo,N09
NL1927,Tương cà Heinz,N02
NL1928,Bột ớt Hàn Quốc,N02
NL193,đinh hương,N02
NL1932,Tép bạc ruộng Lặt bỏ đầu,N02
NL1935,Bông điên điển Loại còn búp,N02
NL1937,Bông Atisô Khoảng,N02
NL19376,Dần sơ cho mềm,N19
NL1939,Cà pháo tím trái to,N02
NL194,Dầu olive,N02
NL1942,Đậu đũa chần,N02
NL1943,Sụn gà,N06
NL1945,Bánh phồng tôm gạo lứt,N04
NL1946,Nụ đinh hương,N02
NL1947,Cà chua tán,N05
NL1949,Đùi tỏi gà Loại nhỏ,N06
NL195,Mật ong,N02
NL1951,Quả tầm bóp chín,N05
NL1952,Nước cốt tầm bóp,N02
NL1953,Bột bánh ngàn lớp Puff parstry Nhất hương,N02
NL1954,loại ham square,N02
NL1956,Bông so đũa bỏ nhụy,N02
NL1957,Ốc bươu đã tách vỏ,N17
NL1958,Rau dưa,N08
NL1959,salad,N02
NL1961,Sữa tươi nguyên kem,N02
NL1963,Chuối đà lạt,N02
NL1969,Cánh gà loại nhỏ tổng khoảng,N06
NL197,Măng tây,N02
NL1973,Bạc hà Tước vỏ,N02
NL1976,Thịt bò thăn ngoại miếng dày,N13
NL198,Khoai lang tím,N02
NL1980,Bí đỏ chọn bí đỏ,N02
NL1984,Muối hạt to,N02
NL1985,Gà ta thả vườn,N06
NL1986,Trái gấc chín,N02
NL1988,Đậu phộng trắng,N02
NL1989,Kỷ tử đỏ khô,N02
NL199,Kem tươi,N02
NL1992,Thịt ba rọi chọn miếng thịt mỡ đều,N02
NL1993,Hoa cúc khô,N02
NL1994,Bánh chưng vừa,N02
NL1996,Sốt cà chua đậm đặc tomato paste,N05
NL1999,Bột cajun,N02
NL20,Cà chua,N05
NL200,Hạt dẻ cười,N02
NL2009,Hạt hạnh nhân,N02
NL201,Dụng cụ túi tam giác bắt kem,N02
NL2010,Gà ta mổ moi,N06
NL2012,Hoa tiêu,N02
NL2015,Thịt ba chỉ bỏ da,N02
NL2017,Gà ác mổ kín,N06
NL2022,Nhãn nhục khô,N02
NL2023,Hàu sữa,N02
NL2024,Lá nhàu loại bánh tẻ,N02
NL2025,Củ sắn củ đậu,N03
NL2026,Bánh quẩy lớn,N02
NL2027,Kem topping,N02
NL2028,Bột bánh khọt,N02
NL203,Thanh cua,N02
NL2030,Chân nấm chà bông,N08
NL2037,Nước cốt me đặc mua loại me tách hột,N02
NL2038,Bia đen,N02
NL2040,Thanh long đỏ,N02
NL2043,Socola dạng lỏng,N02
NL2044,Cốt lết heo,N09
NL2047,Bột pancake phô mai,N02
NL2051,Dưa gừng Nhật màu hồng,N02
NL2052,Thịt cổ heo,N09
NL2054,Màu gạch tôm nhỏ,N04
NL2055,Sữa UHT không đường,N02
NL2056,Lá dứa dài,N02
NL2057,Tôm bạc thẻ,N04
NL2059,Lòng đỏ trứng muối tán nhuyễn đỏ,N02
NL206,Nước cốt tắc,N02
NL2060,Dưa hấu không hạt,N02
NL2067,Trái bơ,N02
NL2073,Củ hũ dừa tươi,N03
NL2075,Dừa nạo sấy,N02
NL2076,Mẻ nuôi,N02
NL2077,Mỡ heo nước,N09
NL2080,Đậu hủ trắng loại miếng nhỏ,N02
NL2082,Kem sữa whipping cream,N02
NL2083,Bí sữa vàng,N02
NL2086,Cải thảo lấy phần THÂN,N02
NL2087,Hàu sữa to đã tách vỏ,N02
NL209,Bánh phồng tôm,N04
NL2090,Táo đỏ nhỏ,N02
NL2092,Thịt bò thăn,N13
NL2093,Tiểu hồi,N02
NL2097,Thịt má đùi,N02
NL21,Mọc,N02
NL210,Dâu tây,N02
NL2102,Trái cây khô có vị chua,N02
NL2103,Thịt hào sữa,N02
NL2104,Thịt lõi vai bò Mỹ,N13
NL2107,Tim bò,N13
NL2108,lá sách,N02
NL2109,Nấm các loại rơm,N08
NL2110,kim châm,N02
NL2111,Whipping creamcooking cream,N02
NL2114,Khoai tây đông lạnh chọn dạng múi cau,N02
NL2115,Nước dừa tươi nước dừa tươi nguyên chất,N02
NL2116,Thịt đầu vai,N02
NL2117,Ớt Ba Tri,N02
NL2118,Pate,N02
NL212,Gan heo,N09
NL2120,Lá hoành thánh tươi,N02
NL2121,Lá mè to,N02
NL2122,Whipping,N02
NL2123,Rau cải ngồng,N08
NL2124,Gà tre,N06
NL2126,Thịt hàu sữa loại lớn,N02
NL2127,Bột rau câu giòn agar,N08
NL2128,Củ hồi fennel,N03
NL2130,Khế chua vừa,N02
NL2132,Tóc tiên nhỏ,N02
NL2137,Táo đỏ khô,N02
NL2138,Củ năng gọt sạch,N03
NL214,Đậu hũ trắng,N02
NL2140,Nha đam lớn,N02
NL2141,Lá hương thảo,N02
NL2142,Cầy tây,N02
NL2144,Bánh đa nem,N02
NL2146,Lá é trắng,N02
NL2152,Ba rọi nguyên miếng,N02
NL2154,lá mơ,N02
NL2156,Mỳ ý khô,N02
NL2159,Củ hủ dừa,N03
NL216,Giò sống chay,N02
NL2160,Váng đậu tươi,N02
NL2163,Phèo làm sạch,N02
NL2167,Oliu đen,N02
NL2168,mù tạc vàng,N02
NL2169,Cơm dừa cứng cạy,N02
NL217,Bột nếp lọc,N02
NL2170,Nước dừa cơm,N02
NL2171,Dầu diều,N02
NL2173,Dưa leo trái nhỏ,N02
NL2175,Nước cốt me súp,N02
NL2177,Bắp vàng Mỹ,N02
NL2178,Phi lê đùi gà,N06
NL2181,Mì khoai tây,N02
NL21827,Trứng gà Luộc trứng gà từ nước nóng khoảng,N18
NL2185,Tương đậu Hàn Quốc,N02
NL2188,Sò huyết con lớn,N02
NL219,Củ năng,N03
NL2191,Cà pháo tươi,N02
NL2193,Khoai mì đã mài,N02
NL2199,Cà bát,N02
NL22,Lòng đỏ trứng muối,N02
NL2200,Thịt ốc giác,N17
NL2202,Poarô phi,N02
NL2203,Wakame,N02
NL2208,Giò nạc,N02
NL2209,Sợi bún to bún bò,N13
NL2210,Cánh gà khúc giữa,N06
NL2211,Hạt đác tươi,N02
NL2212,Gà phi lê,N06
NL2213,Đậu petit pois đông lạnh,N02
NL2216,Bột socola đen,N02
NL2217,Chuối chín,N02
NL2218,Rong biển hijiki,N02
NL222,Lá chuối,N02
NL2220,Lòng trắng trứng ̉,N02
NL2224,Dưa lưới,N02
NL2225,Sốt socola lỏng,N02
NL2227,giấm tiều,N02
NL2228,Lá é,N02
NL223,Lòng đỏ trứng,N02
NL2230,Hào sữa thịt,N02
NL2232,Thịt quay,N02
NL2233,Tiêu lốp khô,N02
NL2234,Tép,N02
NL2236,lá nếp,N02
NL2237,Vẹm đông lạnh,N02
NL2238,Kem sữa tươi chén súp,N02
NL2239,Rong biển bột,N02
NL224,Cream cheese,N02
NL2243,Bao tử heo làm sạch khoảng,N09
NL2245,Gà chay,N06
NL225,Gelatin,N02
NL2250,Nước màu điều,N02
NL2252,Da bò bía tươi,N13
NL2255,Ba chỉ bò đông lạnh,N13
NL2258,Cải thảo phần lá,N02
NL2259,Rau răm Wasabi,N08
NL226,Bột cà phê đá hòa tan,N02
NL2262,rau răm Muối,N08
NL2263,Sấu,N02
NL2266,Sườn heo,N09
NL2268,Lá chuối nhỏ,N02
NL227,Whipping cream,N02
NL2270,Bò chay khô,N13
NL2273,Nghệ,N02
NL2275,Giò cháo quẩy,N02
NL2276,Hạt dẻ cười tách vỏ,N02
NL2278,Lá húng chanh,N02
NL2279,Dưa hấu,N02
NL2282,dầu hàu chay,N02
NL2284,Bún cọng to,N10
NL2285,su su bắp mỹ,N02
NL2286,muối ớt,N02
NL2289,Bánh phở còn nguyên miếng,N10
NL229,Bắp mỹ,N02
NL2290,Ức vịt,N14
NL2291,Rau rừng lặt sạch,N08
NL2292,Dầu phi hành,N02
NL2295,Rau cần cạn,N08
NL2297,Sò huyết,N02
NL2299,Dùng kèm bánh phồng tôm,N04
NL23,Hàu thịt,N02
NL230,Nước dừa,N02
NL2301,Thịt gà quay,N06
NL2303,Thịt mực chay,N07
NL2305,Rong biển khô,N02
NL2308,hoa bí,N02
NL2309,Củ cải trắng mài nhỏ,N03
NL2312,Lòng đỏ trứng vịt,N14
NL2315,Dừa khô nạo,N02
NL2318,Ghẹ,N02
NL2319,Kim chi bắp cải,N02
NL232,Sữa đậu nành không đường,N02
NL2321,Cà tím lớn,N02
NL2325,Cháo gói,N02
NL2326,Khoai từ,N02
NL2327,Poarô phi vàng,N02
NL23288,Cắt que cỡ đầu đũa,N19
NL233,Nước lạnh,N02
NL2331,Ốc bươu,N17
NL2332,Thịt giò sống,N02
NL2333,Ốc lác,N17
NL2337,Sá sùng,N02
NL2340,Dùng kèm salad,N02
NL2342,Cốm dẹp,N02
NL2344,củ cải chua,N03
NL2347,Hàu,N02
NL2349,Mũi heo,N09
NL235,Táo tàu,N02
NL2201,Thịt nách,N02
NL2206,Trứng vịt lộn,N02
NL2351,Hạnh nhân căt lát,N02
NL2457,Mì linguine,N02
