dish_id,dish_name,health_goal,calories,rag_context
M0325,Salad rong nho xốt mè rang,Giảm cân / Ăn nhẹ,4.0,"Món ăn: Salad rong nho xốt mè rang. Mục tiêu: Giảm cân / Ăn nhẹ. Lượng calo: 4.0 kcal. Thời gian nấu: 5 phút. Độ khó: Dễ. Nguyên liệu chính: Rong nho tách nước, Trứng gà, Dưa leo, Bắp cải tím, Cà chua bi, Canh khoai tím hột lựu. Sơ chế: Xà lách rửa sạch, cắt miếng vừa ăn. Rong nho ngâm nước lạnh 2-3 phút (không quá lâu), vớt ra để ráo. Trứng luộc chín, bóc vỏ, cắt lát. Bắp cải tím bào sợi mỏng. Cà chua bi cắt đôi. Dưa leo rửa sạch, bào sơ vỏ, cắt đôi, sau đó cắt lát mỏng. Lá quế cắt khúc vừa ăn.. Các bước thực hiện: Trộn đều các loại xà lách, cà chua, dưa leo, bắp cải tím, lá quế, xếp trứng và rong nho lên trên.
Trộn đều các loại xà lách, cà chua, dưa leo, bắp cải tím, lá quế, xếp trứng và rong nho lên trên.. Cách dùng: Khi ăn rưới Xốt mè rang “Aji-Xốt” lên trên, trộn đều và thưởng thức."
M0322,Viên xúc xích trứng cút chiên,Dinh dưỡng cân bằng,350.0,"Món ăn: Viên xúc xích trứng cút chiên. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 350.0 kcal. Thời gian nấu: 5 phút. Độ khó: Dễ. Nguyên liệu chính: Cần Tây, Giò sống, Trứng cút, Dưa chuột, Cà bi, tiêu xanh, Tiêu, Ajiquick bột chiên giòn, Rau húng lủi, Hành tỏi. Sơ chế: Hành tây, cần tây, cà rốt cắt nhỏ, tiêu xanh đập dập. Xúc xích cắt hạt lựu. Trộn đều giò sống với 3M xúc xích, 2M cà rốt, 1M bắp, 1M cần tây, 1/2M tiêu xanh +1/2M hành tím băm +1/3m tiêu xay.. Các bước thực hiện: Múc ra 2M Gia Vị Nêm Sẵn AjiQuick bột Chiên Giòn, phần còn lại pha với nước.Lăn trứng cút qua bột khô, sau đó bọc chả xung quanh từng trứng cút, rồi lăn qua một lớp bột khô, tiếp tục nhúng qua bột chiên giòn AjiQuick đã pha nước.Chiên ngập dầu cho giòn bên ngoài.
Múc ra 2M Gia Vị Nêm Sẵn AjiQuick bột Chiên Giòn, phần còn lại pha với nước.
Lăn trứng cút qua bột khô, sau đó bọc chả xung quanh từng trứng cút, rồi lăn qua một lớp bột khô, tiếp tục nhúng qua bột chiên giòn AjiQuick đã pha nước.
Chiên ngập dầu cho giòn bên ngoài.. Cách dùng: Cho rau thơm, dưa cà bi, salad vào giữa đĩa. Cắt dọc viên trứng xúc xích xếp xung quanh, khi ăn chấm với Xốt mè rang “Aji-Xốt”Món ăn ngon đi kèm:CANH SƯỜN CỦ SEN A-TI-SÔ."
M0329,Lẩu Thái và hoa,Dinh dưỡng cân bằng,370.0,"Món ăn: Lẩu Thái và hoa. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 370.0 kcal. Thời gian nấu: 20 phút. Độ khó: Dễ. Nguyên liệu chính: Bông điên điển, Bông so đũa, Bông hẹ, Bông bí, Bông súng, Tôm sú, Nấm rơm búp, ngò gai, Rau om, Dầu ăn, Hạt nêm ajingon heo, Ajiquick lẩu thái, Sả cây, Húng quế, Tỏi băm, ớt hiểm xanh đỏ. Sơ chế: Sơ chế các loại hoa và rau nêm. Tán cá thác lác với 1m tỏi phi, 1m hạt nêm Aji-ngon Heo, 1m ớt sừng băm. Vo thành viên tròn nhỏ. Nấm rơm xào với 1M dầu ăn, 1/3m hạt nêm Aji-ngon Heo, 1/3m tiêu. Các bước thực hiện: Nấu nước lẩu với gói Gia vị nêm sẵn Aji-Quick® LẨU THÁI, cho nấm vào. Đun sôi, cho tôm và cá vào, ít dầu tỏi phi, 1/2 rau thơm.
Nấu nước lẩu với gói Gia vị nêm sẵn Aji-Quick® LẨU THÁI, cho nấm vào. Đun sôi, cho tôm và cá vào, ít dầu tỏi phi, 1/2 rau thơm.. Cách dùng: Bày 1 mẹt rau hoa các loại, 1 đĩa tôm và cá. Khi ăn nhúng các loại hoa, tôm cá vào nước lẩu sôi. Dọn kèm nước mắm, ớt cắt lát.."
M0330,Cơm chiên kim chi,Dinh dưỡng cân bằng,340.0,"Món ăn: Cơm chiên kim chi. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 340.0 kcal. Thời gian nấu: 30 phút. Độ khó: Dễ. Nguyên liệu chính: Trứng gà, Hành lá, Mè trắng rang, Tương ớt Hàn Quốc Gochujang, Dầu mè hàn quốc, Thịt bò fillet mềm, Gừng băm, Tỏi băm, Kimchi ông Kim, Tương ớt Hàn Quốc, Nước tương Phú Sĩ. Sơ chế: Cơm gạo Thái hạt dài nấu khô ráo dùng để chiên cơm. Thịt bò fillet mềm cắt khối 5mm. Kimchi cắt sợi ngang 3mm vắt ráo nước. Ướp thịt bò với 1m gừng, 1m Nước tương “Phú Sĩ”. Hành lá cắt nhỏ đầu lá để riêng. Trứng chiên ốp la.. Các bước thực hiện: Phi thơm 1M tỏi với dầu ăn cho thịt bò vào xào chín tái trút ra để riêng. Thêm dầu vào chảo tiếp tục phi thơm phần tỏi còn lại với đầu hành.Thêm kimchi, bắp vào xào thơm, thêm3M tương ớt Hàn Quốc, nước kim chi hòa tan đều. Cho cơm, 1m Bột ngọt AJI-NO-MOTO®, 1M Nước tương “Phú Sĩ” vào trộn đều nếm vị vừa ăn, chiên lửa vừa đến khi hạt cơm rám mặt. Cho thịt bò, hành lá, dầu mè vào xốc đều.
Phi thơm 1M tỏi với dầu ăn cho thịt bò vào xào chín tái trút ra để riêng. Thêm dầu vào chảo tiếp tục phi thơm phần tỏi còn lại với đầu hành.Thêm kimchi, bắp vào xào thơm, thêm3M tương ớt Hàn Quốc, nước kim chi hòa tan đều. Cho cơm, 1m Bột ngọt AJI-NO-MOTO®, 1M Nước tương “Phú Sĩ” vào trộn đều nếm vị vừa ăn, chiên lửa vừa đến khi hạt cơm rám mặt. Cho thịt bò, hành lá, dầu mè vào xốc đều.. Cách dùng: Cho cơm ra chén, nén chặt, úp ngược ra đĩa cho trứng ốp la trên trên, rắc ít mè trắng rang và rong biển khô trên cùng. Dùng nóng, chan thêm nước tương tùy vị.."
M0542,Canh kim chi thịt bò,Dinh dưỡng cân bằng,310.0,"Món ăn: Canh kim chi thịt bò. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 310.0 kcal. Thời gian nấu: 35 phút. Độ khó: Dễ. Nguyên liệu chính: Bắp bò, Kim chi nguyên cây, Boa rô, Hạt nêm ajingon heo, Ớt sừng Tỏi, Nấm đông cô khô. Sơ chế: Bắp bò cắt khối vuông 3cm, ướp với 1M hạt nêm Aji-ngon®, 1/2m tiêu và 1M đường. Tỏi đập dập. Kim chi cắt khúc 5cm, giữ lại nước kim chi. Nấm đông cô ngâm nở, cắt bỏ chân, trộn với 1/2m hạt nêm Aji-ngon®. Hành boa rô cắt xéo, ớt sừng đập dập, cắt đôi.. Các bước thực hiện: Cho 1 lít nước vào nồi áp suất, cho bắp bò, tỏi, nước kim chi và nấm đông cô vào nấu khoảng 20 phút cho thịt bò mềm. Thêm kim chi, hành boa rô và ớt sừng vào nồi, nấu thêm 5 phút, tắt bếp
Cho 1 lít nước vào nồi áp suất, cho bắp bò, tỏi, nước kim chi và nấm đông cô vào nấu khoảng 20 phút cho thịt bò mềm. Thêm kim chi, hành boa rô và ớt sừng vào nồi, nấu thêm 5 phút, tắt bếp. Cách dùng: Múc canh ra tô, dùng nóng với cơm, mì hoặc bún.."
M0331,Gỏi cá kiểu Nhật,Dinh dưỡng cân bằng,220.0,"Món ăn: Gỏi cá kiểu Nhật. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 220.0 kcal. Thời gian nấu: 15 phút. Độ khó: Dễ. Nguyên liệu chính: Rau tần ô, Củ cải trắng, Hành lá, Mè trắng rang, nước mắm AJINOMOTO Giấm gạo lên men, Dầu ăn, Hạt nêm ajingon heo, Ajiquick bột chiên giòn, Nước tương Phú Sĩ, Đường. Sơ chế: Rau tần ô lặt rửa sạch, lặt lá và cọng riêng, cắt khúc ngắn vừa ăn khoảng 5cm, chần cọng trong nước sôi trước rồi chần lá, trong nước nêm 1/2m Hạt nêm Aji-ngon® Heo, vớt ra xả nước lạnh, vắt ráo. Củ cải trắng gọt vỏ, mài nhuyễn, vắt bớt nước. Hành lá phần đầu trắng băm nhuyễn, phần lá cắt nhỏ. Ớt sừng cắt sợi. Cá basa cắt miếng vừa ăn, ướp với 1m Hạt nêm Aji-ngon® Heo, ½m tiêu và đầu hành băm, để thấm.. Các bước thực hiện: Pha nước trộn gỏi: Trộn đều 4M Nước tương “Phú Sĩ” với 2M đường, 2M Giấm gạo lên men Ajinomoto.Cá ba sa tẩm Gia vị nêm sẵn Aji-quick bột chiên giòn để khô (không pha thêm nước) chiên giòn.Trộn gỏi:Trộn đều tần ô, hành tây, cà rốt, cá, ớt sợi, hành lá, củ cải trắng. với nước trộn gỏi, xếp cá lên trên và rắc thêm mè.
Pha nước trộn gỏi: Trộn đều 4M Nước tương “Phú Sĩ” với 2M đường, 2M Giấm gạo lên men Ajinomoto.
Cá ba sa tẩm Gia vị nêm sẵn Aji-quick bột chiên giòn để khô (không pha thêm nước) chiên giòn.
Trộn gỏi:Trộn đều tần ô, hành tây, cà rốt, cá, ớt sợi, hành lá, củ cải trắng. với nước trộn gỏi, xếp cá lên trên và rắc thêm mè.. Cách dùng: Xếp gỏi cá basa ra dĩa, trang trí với ớt cắt sợi.Món ăn ngon đi kèm:Canh sườn bí đỏ rong biển."
M0327,Phở tái lăn,Giảm cân / Ăn nhẹ,4.0,"Món ăn: Phở tái lăn. Mục tiêu: Giảm cân / Ăn nhẹ. Lượng calo: 4.0 kcal. Thời gian nấu: 5 phút. Độ khó: Dễ. Nguyên liệu chính: Bò phi lê, Gầu bò, Phở, Hành lá, Gừng, Cải ngọt, Dầu, Đường, Lá quế, Ajiquick phở bò, Ớt sừng, Tỏi băm. Sơ chế: Bò để tủ đá, cắt lát thật mỏng, 1m GVNS AJI-QUICK® PHỞ BÒ, 1,5m đường ướp 1M tỏi băm, 1M gừng băm,để thấm. Hành tây cắt lát mỏng 1/2 củ, phần còn lại nấu nước dùng. Hành lá cắt nhỏ, phần cọng nấu nước dùng. Bánh phở chần nóng, chia ra 4 tô, thêm hành tây, hành lá.. Các bước thực hiện: Đun sôi 1.5L nước sôi, nêm Gia vị nêm sẵn Aji-Quick Phở Bò còn lại vào, thêm hành tây và đầu hành lá.Làm nóng chảo với 1M dầu ăn, xào thịt bò, cải ngọt và hành tây với lửa lớn,bò vừa chín trút vào các tô phở.
Đun sôi 1.5L nước sôi, nêm Gia vị nêm sẵn Aji-Quick Phở Bò còn lại vào, thêm hành tây và đầu hành lá.
Làm nóng chảo với 1M dầu ăn, xào thịt bò, cải ngọt và hành tây với lửa lớn,bò vừa chín trút vào các tô phở.. Cách dùng: Chan nước dùng vào tô phở, dùng nóng.."
M0003,Salad hoa lý tôm xá xíu,Dinh dưỡng cân bằng,240.0,"Món ăn: Salad hoa lý tôm xá xíu. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 240.0 kcal. Thời gian nấu: 15 phút. Độ khó: Dễ. Nguyên liệu chính: Hoa thiên lý, Hành phi, Tôm tươi, Xà lách mỹ, Rượu trắng, Mè rang, Muối, Tiêu, Dầu ăn, Bột canh, Nước cốt chanh, Đường, Ớt sừng, Hành tây tím. Sơ chế: Ướp tôm: Tôm bóc vỏ, bỏ đầu, chừa đuôi. Ướp với 1/4m BỘT CANH, 1/4m ớt bột, để thấm. Thịt xá xíu cắt sợi vừa ăn. Xà lách Mỹ xé dọc, giữ lạnh. Hành tây cắt lát mỏng, ngâm nước đá lạnh. Ớt sừng bỏ hạt, cắt sợi mỏng, ngắn. Gừng non cắt sợi.. Các bước thực hiện: Luộc hoa thiên lý: Đun sôi nước, nêm 1m muối, cho hoa thiên lý vào luộc vừa chín, vớt ra ngâm vào nước đá lạnh cho nguội nhanh rồi vớt ra rổ, để ráo.Áp chảo tôm: Đun nóng ít dầu trong chảo, cho tôm vào chiên áp chảo đến khi tôm chín tới.Pha xốt trộn: 4M Xốt Mayonnaise Aji-mayo®, 1M nước cốt chanh, 1m đường, 1/2m ớt bột, 1/4m muối, khuấy tan.
Luộc hoa thiên lý: Đun sôi nước, nêm 1m muối, cho hoa thiên lý vào luộc vừa chín, vớt ra ngâm vào nước đá lạnh cho nguội nhanh rồi vớt ra rổ, để ráo.
Áp chảo tôm: Đun nóng ít dầu trong chảo, cho tôm vào chiên áp chảo đến khi tôm chín tới.
Pha xốt trộn: 4M Xốt Mayonnaise Aji-mayo®, 1M nước cốt chanh, 1m đường, 1/2m ớt bột, 1/4m muối, khuấy tan.. Cách dùng: Cho xà lách, hoa lý, hành tây, ớt sừng, gừng sợi ra dĩa, xếp thịt xá xíu và tôm lên trên, rắc mè rang, trang trí với rau húng lủi. Trước khi ăn rưới Xốt Mayonnaise Aji-mayo® lên và trộn đều.."
M0856,Trứng chiên đậu hủ thịt cua,Dinh dưỡng cân bằng,240.0,"Món ăn: Trứng chiên đậu hủ thịt cua. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 240.0 kcal. Thời gian nấu: 15 phút. Độ khó: Dễ. Nguyên liệu chính: Trứng gà ta, Đậu hũ trắng, Hành tím, Cà chua bi, Thịt cua, Hành lá, Dầu ăn, Tiêu, Bột canh, Đường. Sơ chế: Hành tím cắt lát. Hành lá cắt nhỏ.Thịt cualoại bỏ phần xương. Đậu hũ cắt 2 miếng nhỏ hình chữ nhật 2×3 cm và dày khoảng 0.5 cm, còn lại cắt hạt lựu. Cà chua bi cắt lát tròn. Hành lá cắt nhỏ.. Các bước thực hiện: Đập trứng ra tô, nêm 1/2m bột canh Ajinomoto, 1/3m đường, 1 ít tiêu vào khuấy cho tan đều rồi cho hành lá và đậu hũ vào.Phi thơm hành tím cắt lát, cho phần thịt cua vào xào thơm, 1 ít tiêu, trút ra dĩa.Cho tiếp 2M dầu ăn vào chảo, đun nóng rồi đổ tô trứng đậu hũ vào, đợi trứng se mặt lại, xếp thịt cua vào giữa, xếp 2 miếng đậu hũ phía dưới, cho 2 lát cà chua bi phía trên rồi đậy nắp lại, để lửa nhỏ cho đến khi chín lấy ra. (Tạo hình mặt con thỏ với cà chua làm mắt, thịt cua làm mũi và đậu hũ làm răng thỏ).
Đập trứng ra tô, nêm 1/2m bột canh Ajinomoto, 1/3m đường, 1 ít tiêu vào khuấy cho tan đều rồi cho hành lá và đậu hũ vào.
Phi thơm hành tím cắt lát, cho phần thịt cua vào xào thơm, 1 ít tiêu, trút ra dĩa.
Cho tiếp 2M dầu ăn vào chảo, đun nóng rồi đổ tô trứng đậu hũ vào, đợi trứng se mặt lại, xếp thịt cua vào giữa, xếp 2 miếng đậu hũ phía dưới, cho 2 lát cà chua bi phía trên rồi đậy nắp lại, để lửa nhỏ cho đến khi chín lấy ra. (Tạo hình mặt con thỏ với cà chua làm mắt, thịt cua làm mũi và đậu hũ làm răng thỏ).. Cách dùng: Cho trứng ra dĩa, trang trí với xốt Mayonnaise Aji-mayo® nắp kép mới vẽ tạo thành hình mặt thỏ.."
M0336,Hotdog bắp cải,Dinh dưỡng cân bằng,270.0,"Món ăn: Hotdog bắp cải. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 270.0 kcal. Thời gian nấu: 15 phút. Độ khó: Dễ. Nguyên liệu chính: Bắp cải, Trứng gà, Hành lá, Phô mai lát, Ajiquick bột chiên giòn, Hạt nêm ajingon heo. Sơ chế: Bắp cải cắt sợi nhuyễn, rửa sạch, để ráo. Hành lá cắt nhỏ. Xúc xích xông khói dùng dao khứa quanh xúc xích.. Các bước thực hiện: Pha hỗn hợp bắp cải: Trộn đều bắp cải với 2 quả trứng, 1/2m hạt nêm Aji-ngon và 4M Aji Quick bột chiên giòn.Sử dụng chảo chống dính size 20cm đáy bằng, đun nóng ít dầu ăn, cho 1/2 hỗn hợp vào chảo, dàn thật mỏng, xếp phô mai lên trên, tiếp tới xúc xích rồi cuộn tròn lại, áp chảo đến khi hotdog chín vàng đều các mặt.
Pha hỗn hợp bắp cải: Trộn đều bắp cải với 2 quả trứng, 1/2m hạt nêm Aji-ngon và 4M Aji Quick bột chiên giòn.
Sử dụng chảo chống dính size 20cm đáy bằng, đun nóng ít dầu ăn, cho 1/2 hỗn hợp vào chảo, dàn thật mỏng, xếp phô mai lên trên, tiếp tới xúc xích rồi cuộn tròn lại, áp chảo đến khi hotdog chín vàng đều các mặt.. Cách dùng: Cắt hotdog thành từng lát dày 1.5cm, xếp ra dĩa, topping tương cà và mayonniase.."
M0337,Hoành thánh cay,Dinh dưỡng cân bằng,300.0,"Món ăn: Hoành thánh cay. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 300.0 kcal. Thời gian nấu: 30 phút. Độ khó: Dễ. Nguyên liệu chính: Lá hoành thánh, Trứng gà, Cà rốt, Mè trắng, Hành lá, Ớt sừng, Hành tây, Ớt khô, Tỏi băm, Bột ngọt, Dầu ăn, Hạt nêm ajingon heo, Nước tương Phú Sĩ, Đường. Sơ chế: Xào trứng: khấy tan trứng, xào chín với 1M đầu ăn. Ớt sừng băm nhỏ. Cà rốt, hành tây cắt hạt lựu. Mè trắng rang vàng.. Các bước thực hiện: Xào nhân: phi thơm 1m tỏi băm cho thịt xay, cà rốt, hành tây vào xào chín nêm vào 1/2m hạt nêm Aji-ngon, tiếp tục cho phần trứng đã xào chín vào xào chung.Gói hoành thánh với khoảng 1m nhân, sau đó luộc 5 phút với nước sôi.Nấu sốt: phi thơm 1M tỏi, ớt với dầu ăn. cho vào 1/2 chén nước, 2M nước tương Phú Sĩ, 1M dầu hào, 1M tương ớt, 1/2m đường, 1/2m bột ngọt. khuấy đều cho tan gia vị và nấu sôi. them ớt khô, tắt lửa.
Xào nhân: phi thơm 1m tỏi băm cho thịt xay, cà rốt, hành tây vào xào chín nêm vào 1/2m hạt nêm Aji-ngon, tiếp tục cho phần trứng đã xào chín vào xào chung.
Gói hoành thánh với khoảng 1m nhân, sau đó luộc 5 phút với nước sôi.
Nấu sốt: phi thơm 1M tỏi, ớt với dầu ăn. cho vào 1/2 chén nước, 2M nước tương Phú Sĩ, 1M dầu hào, 1M tương ớt, 1/2m đường, 1/2m bột ngọt. khuấy đều cho tan gia vị và nấu sôi. them ớt khô, tắt lửa.. Cách dùng: Cho hoành thánh ra tô, rắc hành lá lên trên, rưới sốt đã nấu lên trên. Dùng nóng.."
M0335,Lẩu bò hoa,Dinh dưỡng cân bằng,380.0,"Món ăn: Lẩu bò hoa. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 380.0 kcal. Thời gian nấu: 20 phút. Độ khó: Dễ. Nguyên liệu chính: Ba chỉ bò, Củ cải trắng, Cà rốt, Cải thảo, Trứng gà, Hành lá, Nấm kim châm, sa tế, Ajiquick phở bò. Sơ chế: Thịt bò cuộn thành cuộn nhỏ vừa ăn. Cà rốt, củ cải trắng bào vỏ, sau đó dufgn dao bào từng miếng dài, cuộn tròn lại. Cải thảo chần sơ, cuộn tròn. Hành tây cắt lát mỏng. Hành lá cắt nhỏ 1 nhánh, phần còn lại chần sơ. Trứng gà đánh tan, trán mỏng, cắt từng miếng dài, cuộn tròn lại như cá nguyên liệu khác. Dùng dây hành chần cột lại định hình.. Các bước thực hiện: Pha nước lẩu: Pha nước lẩu theo hướng dẫn trên bào bì, 1 gói Gia Vị Nêm Sẵn Aji-Quick phở bò pha với 1.5L nước.Lần lượt xếp tất cả nguyên liệu vào nồi đất đường kính khoảng 18-20cm, bên dưới lót hành tây. Thêm nước lẩu vào ngập nguyên liệu.
Pha nước lẩu: Pha nước lẩu theo hướng dẫn trên bào bì, 1 gói Gia Vị Nêm Sẵn Aji-Quick phở bò pha với 1.5L nước.
Lần lượt xếp tất cả nguyên liệu vào nồi đất đường kính khoảng 18-20cm, bên dưới lót hành tây. Thêm nước lẩu vào ngập nguyên liệu.. Cách dùng: Nấu sôi nước lẩu, khi ăn chấm kèm tương đen, sa tế.."
M0594,Salad hoa thiên lý thịt bò,Dinh dưỡng cân bằng,290.0,"Món ăn: Salad hoa thiên lý thịt bò. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 290.0 kcal. Thời gian nấu: 30 phút. Độ khó: Dễ. Nguyên liệu chính: Nước cốt chanh dây, Hoa thiên lý, Bắp cải, Cà chua bi, Giá sống, Mè rang, tương xí muội, Muối, Nước tương Phú Sĩ, Đường. Sơ chế: Hoa thiên lý chần qua nước sôi, ngâm qua nước lạnh, vớt ráo. Húng lủi cắt nhỏ. Cà chua bi cắt đôi. Giá sống nhặt bỏ chân. Bắp cải cắt nhuyễn, rửa sạch. Trộn chung hoa thiên lý, giá sống, bắp cải, cà chua bi, húng lủi, cho vào tủ lạnh cho lạnh. Thịt ba rọi bò cắt miếng vừa ăn ướp 1m nước tương “Phú Sĩ”, 1/2m bột ngọt AJI-NO-MOTO®, 1m dầu hào, 1/2m đường.. Các bước thực hiện: Pha xốt: 3M nước cốt chanh dây, 2M đường, 1M nước và đun nóng, khuấy tan để nguội. Cho tiếp 1M tương xí muội, 1m muối vào nước.Xào thịt bò: Đun nóng 1M dầu ăn trong chảo, cho thịt bò vào xào chín, trút ra, để nguội.
Pha xốt: 3M nước cốt chanh dây, 2M đường, 1M nước và đun nóng, khuấy tan để nguội. Cho tiếp 1M tương xí muội, 1m muối vào nước.
Xào thịt bò: Đun nóng 1M dầu ăn trong chảo, cho thịt bò vào xào chín, trút ra, để nguội.. Cách dùng: Trình bày:trộn 1/2 nước xốt với phần rau để lạnh, cho ra dĩa, cho thịt bò xào lên rồi topping Xốt Mayonnaise Aji-mayo®, sau đó xếp thêm 1 lớp rau và thịt tương tự rồi topping Xốt Mayonnaise Aji-mayo® lên trên cùng, khi ăn trộn đều lên."
M0334,Salad khoai tây trứng cút,Dinh dưỡng cân bằng,230.0,"Món ăn: Salad khoai tây trứng cút. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 230.0 kcal. Thời gian nấu: 15 phút. Độ khó: Dễ. Nguyên liệu chính: Dăm bông, Củ dền, Bắp Mĩ hạt, Đậu bi, Trứng cút, Sữa chua, Muối. Sơ chế: Khoai tây luộc chín, bóc vỏ, cắt hạt lựu. Dăm bông cắt hạt lựu. Củ dền, bắp Mỹ, đậu bi luộc chín.. Các bước thực hiện: Pha sốt trộn:1.5M Xốt Mayonniase Aji-mayo vị nguyên bản, 1.5m sữa chua có đường, 1.5m mù tạt vàng, 1 ít muối.Trộn đều các loại rau củ và dăm bông với 1 ít muối, tiêu, sau đó cho sốt và trộn đều.
Pha sốt trộn:1.5M Xốt Mayonniase Aji-mayo vị nguyên bản, 1.5m sữa chua có đường, 1.5m mù tạt vàng, 1 ít muối.
Trộn đều các loại rau củ và dăm bông với 1 ít muối, tiêu, sau đó cho sốt và trộn đều.. Cách dùng: Cho salad ra dĩa, xếp trứng cút xung quanh.."
M0343,Miến tôm phỉ thuý,Dinh dưỡng cân bằng,280.0,"Món ăn: Miến tôm phỉ thuý. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 280.0 kcal. Thời gian nấu: 30 phút. Độ khó: Dễ. Nguyên liệu chính: Giò sống, Hành lá, Cà rốt, Tiêu xay, Miến khô, Tôm, Bột ngọt, Hạt nêm ajingon heo, Nước tương Phú Sĩ, Đường. Sơ chế: Miến khô ngâm mềm, cắt ngắn. Cải bó xôi lấy phần lá. Hành lá cắt khúc 4cm. Cà rốt cắt sợ nhuyễn. Xay nhuyễn tôm, cải bó xôi với 1/2m hạt nêm Aji-ngon sau đó trộn đều tôm đã xay với giò sống. Vo viên vừa ăn.. Các bước thực hiện: Pha sốt: 2M nước tướng “Phú Sĩ”, 1m dầu hào, 1/2m hạt nêm Aji-ngon, 1/2m bột ngọt, 1/2m đường, 3M nước, 1 xíu tiêu.Xếp một ít miến đã ngâm ra dĩa, đặt tôm viên lên trên, xếp phần miến còn lại lên phía trên tôm viên, tiếp tục xếp cà rốt và hành lá lên. Rưới đều sốt đã pha lên. Hấp cách thủy 15 phút.
Pha sốt: 2M nước tướng “Phú Sĩ”, 1m dầu hào, 1/2m hạt nêm Aji-ngon, 1/2m bột ngọt, 1/2m đường, 3M nước, 1 xíu tiêu.
Xếp một ít miến đã ngâm ra dĩa, đặt tôm viên lên trên, xếp phần miến còn lại lên phía trên tôm viên, tiếp tục xếp cà rốt và hành lá lên. Rưới đều sốt đã pha lên. Hấp cách thủy 15 phút.. Cách dùng: Lấy dĩa ra khỏi nồi hấp, rắc tiêu và ngò rí lên trên.."
M1225,Lẩu Collagen,Dinh dưỡng cân bằng,340.0,"Món ăn: Lẩu Collagen. Mục tiêu: Dinh dưỡng cân bằng. Lượng calo: 340.0 kcal. Thời gian nấu: 90 phút. Độ khó: Dễ. Nguyên liệu chính: Chân gà, Đậu phộng trắng, Táo tàu đỏ, Kỷ tử đỏ khô, Cà rốt, Gừng lát, Tôm sú nguyên con, Nấm kim châm, Rau tần ô, Cải thảo, Hạt nêm ajingon heo, Đường phèn. Sơ chế: Xương gà ngâm phai tiết, chân gà ngâm nước muối 15 phút rửa sạch. Đậu phộng ngâm 4h bỏ vỏ cho vào vải mùng (hoặc túi vải). Cà rốt cắt hoa tùy ý, lê gọt vỏ (ngâm nước pha ít cốt chanh), kỷ tử táo tàu ngâm mềm rửa sạch. Các loại rau nấm ăn kèm rửa sạch. Tôm cắt bỏ râu, chân, đầu nhọn.Thịt bògiữ lạnh. Cà rốt cắt hoa tùy ý dày 3mm.. Các bước thực hiện: Cho chân gà, xương gà, túi đậu phộng, gừng lát vào nồi, thêm 3 lít nước nấu nhỏ lửa, vớt bọt 1h. Thêm trái lê vào nấu tiếp 30′. Vớt bỏ xương lê gừng, xay nhuyễn đậu phộng đậu với nước dùng, lược lại bằng vợt thưa. Lường lấy 2,5 lít nước dùng thêm táo tàu, cà rốt bông, nêm 2g muối, 25g đường phèn, 25g hạt nêm Aji-ngon® Heo, 25g Bột ngọt AJI-NO-MOTO® nấu chín.
Cho chân gà, xương gà, túi đậu phộng, gừng lát vào nồi, thêm 3 lít nước nấu nhỏ lửa, vớt bọt 1h. Thêm trái lê vào nấu tiếp 30′. Vớt bỏ xương lê gừng, xay nhuyễn đậu phộng đậu với nước dùng, lược lại bằng vợt thưa. Lường lấy 2,5 lít nước dùng thêm táo tàu, cà rốt bông, nêm 2g muối, 25g đường phèn, 25g hạt nêm Aji-ngon® Heo, 25g Bột ngọt AJI-NO-MOTO® nấu chín.. Cách dùng: Cho nước dùng vào nồi lẩu thêm kỷ tử đun sôi. Bày riêngthịt tôm, rau,mì. Nhúng vô lẩu tùy thích. Chấm cùng với nước tương, ớt sate… tùy thích.."
