dish_id,dish_name,health_goal,calories,main_ingredients,is_vegetarian,dish_type,rag_context
M0673,Chân gà sả tắc,Dinh dưỡng cân bằng,275.0,"Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Chân gà chẻ đôi, Tắc trái, Lá chanh, Sả cây, Ớt sừng, Rượu trắng",False,khác,"Tên món: Chân gà sả tắc. Phân loại: Không chay. Kiểu món: khác. Mục tiêu: Dinh dưỡng cân bằng. Calo: 275.0 kcal. Thời gian: 30. Độ khó: Dễ. Nguyên liệu chính: Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Chân gà chẻ đôi, Tắc trái, Lá chanh, Sả cây, Ớt sừng, Rượu trắng. Đặc điểm nổi bật: món không chay, nổi bật với Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Chân gà chẻ đôi, Tắc trái."
M0635,Súp gạo lứt tóc tiên,Giảm cân / Ăn nhẹ,185.0,"Cần Tây, Gạo lứt sấy, Củ cải trắng, Bắp mỹ, Chả lụa chay, Măng tây, Cà chua, Tóc tiên, bột bắp, Tiêu, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ",False,súp,"Tên món: Súp gạo lứt tóc tiên. Phân loại: Không chay. Kiểu món: súp. Mục tiêu: Giảm cân / Ăn nhẹ. Calo: 185.0 kcal. Thời gian: 30. Độ khó: Dễ. Nguyên liệu chính: Cần Tây, Gạo lứt sấy, Củ cải trắng, Bắp mỹ, Chả lụa chay, Măng tây, Cà chua, Tóc tiên, bột bắp, Tiêu, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ. Đặc điểm nổi bật: món không chay kiểu súp, nổi bật với Cần Tây, Gạo lứt sấy, Củ cải trắng, Bắp mỹ."
M1716,Hamburger bí đỏ,Dinh dưỡng cân bằng,380.0,"Bí đỏ, Tàu hũ ki, Ham chay, Bánh mì burger, Nấm đông cô khô, Phô mai miếng, Boaro phi, Muối, Dầu ăn, Dưa leo, Cà chua, Tương cà, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, Ớt sừng băm ăn kèm xà lách, Hành tây, Đường",True,burger,"Tên món: Hamburger bí đỏ. Phân loại: Ăn chay được. Kiểu món: burger. Mục tiêu: Dinh dưỡng cân bằng. Calo: 380.0 kcal. Thời gian: 20. Độ khó: Dễ. Nguyên liệu chính: Bí đỏ, Tàu hũ ki, Ham chay, Bánh mì burger, Nấm đông cô khô, Phô mai miếng, Boaro phi, Muối, Dầu ăn, Dưa leo, Cà chua, Tương cà, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, Ớt sừng băm ăn kèm xà lách, Hành tây, Đường. Đặc điểm nổi bật: món chay kiểu burger, nổi bật với Bí đỏ, Tàu hũ ki, Ham chay, Bánh mì burger."
M0013,Cải thảo cuộn tôm cá,Dinh dưỡng cân bằng,200.0,"Cải thảo, Đậu que Nhật, Nấm mèo, Hành lá, Hành phi, Hành tỏi băm, Tiêu, Tương cà, Dầu ăn, Bột năng, Hạt nêm ajingon heo, Nước tương Phú Sĩ, dầu mè, Ớt sừng",False,cuộn,"Tên món: Cải thảo cuộn tôm cá. Phân loại: Không chay. Kiểu món: cuộn. Mục tiêu: Dinh dưỡng cân bằng. Calo: 200.0 kcal. Thời gian: 45. Độ khó: Dễ. Nguyên liệu chính: Cải thảo, Đậu que Nhật, Nấm mèo, Hành lá, Hành phi, Hành tỏi băm, Tiêu, Tương cà, Dầu ăn, Bột năng, Hạt nêm ajingon heo, Nước tương Phú Sĩ, dầu mè, Ớt sừng. Đặc điểm nổi bật: món không chay kiểu cuộn, nổi bật với Cải thảo, Đậu que Nhật, Nấm mèo, Hành lá."
M0030,Pancake đậu xanh cốt dừa,Tăng cân / Năng lượng cao,415.0,"Trứng, Vani, Lá dứa, Bơ lạt, Đường, Nước cốt dừa lon",False,khác,"Tên món: Pancake đậu xanh cốt dừa. Phân loại: Không chay. Kiểu món: khác. Mục tiêu: Tăng cân / Năng lượng cao. Calo: 415.0 kcal. Thời gian: 15. Độ khó: Dễ. Nguyên liệu chính: Trứng, Vani, Lá dứa, Bơ lạt, Đường, Nước cốt dừa lon. Đặc điểm nổi bật: món không chay, nổi bật với Trứng, Vani, Lá dứa, Bơ lạt."
M1226,Heo kho tàu,Tăng cân / Năng lượng cao,420.0,"Trứng gà, Ajiquick thịt kho tàu, Ớt sừng, Tỏi lột vỏ",False,kho,"Tên món: Heo kho tàu. Phân loại: Không chay. Kiểu món: kho. Mục tiêu: Tăng cân / Năng lượng cao. Calo: 420.0 kcal. Thời gian: 45. Độ khó: Dễ. Nguyên liệu chính: Trứng gà, Ajiquick thịt kho tàu, Ớt sừng, Tỏi lột vỏ. Đặc điểm nổi bật: món không chay kiểu kho, nổi bật với Trứng gà, Ajiquick thịt kho tàu, Ớt sừng, Tỏi lột vỏ."
M2330,Chân nấm xào thịt gà,Dinh dưỡng cân bằng,230.0,"Chân nấm hương, Hành tỏi băm, Hành ngò, Tiêu, Muối, mỡ nước, Nước tương Phú Sĩ, Ớt sừng",False,xào,"Tên món: Chân nấm xào thịt gà. Phân loại: Không chay. Kiểu món: xào. Mục tiêu: Dinh dưỡng cân bằng. Calo: 230.0 kcal. Thời gian: 30. Độ khó: Dễ. Nguyên liệu chính: Chân nấm hương, Hành tỏi băm, Hành ngò, Tiêu, Muối, mỡ nước, Nước tương Phú Sĩ, Ớt sừng. Đặc điểm nổi bật: món không chay kiểu xào, nổi bật với Chân nấm hương, Hành tỏi băm, Hành ngò, Tiêu."
M0021,Cá dứa một nắng chua ngọt,Dinh dưỡng cân bằng,300.0,"Lá dứa, Hành lá, Gừng lát, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Dưa leo, Ớt sừng, Đường",False,khác,"Tên món: Cá dứa một nắng chua ngọt. Phân loại: Không chay. Kiểu món: khác. Mục tiêu: Dinh dưỡng cân bằng. Calo: 300.0 kcal. Thời gian: 15. Độ khó: Dễ. Nguyên liệu chính: Lá dứa, Hành lá, Gừng lát, Nước mắm, nước mắm AJINOMOTO Giấm gạo lên men, Dưa leo, Ớt sừng, Đường. Đặc điểm nổi bật: món không chay, nổi bật với Lá dứa, Hành lá, Gừng lát, Nước mắm."
M0663,Salad cua thanh,Dinh dưỡng cân bằng,215.0,"nước mắm AJINOMOTO Giấm gạo lên men, Ngò tây, Tỏi băm, Tiêu, dầu oliu, Hành tây tím, Đường",False,salad,"Tên món: Salad cua thanh. Phân loại: Không chay. Kiểu món: salad. Mục tiêu: Dinh dưỡng cân bằng. Calo: 215.0 kcal. Thời gian: 20. Độ khó: Dễ. Nguyên liệu chính: nước mắm AJINOMOTO Giấm gạo lên men, Ngò tây, Tỏi băm, Tiêu, dầu oliu, Hành tây tím, Đường. Đặc điểm nổi bật: món không chay kiểu salad, nổi bật với nước mắm AJINOMOTO Giấm gạo lên men, Ngò tây, Tỏi băm, Tiêu."
M2422,Chả bò chiên,Dinh dưỡng cân bằng,280.0,"Khoai tây, Hành phi, Bột xù, Bột cà ry, Tiêu, Mù tạt vàng, Hạt nêm ajingon heo, Hành lá cắt nhỏ, Hành tây, Đường",False,chiên,"Tên món: Chả bò chiên. Phân loại: Không chay. Kiểu món: chiên. Mục tiêu: Dinh dưỡng cân bằng. Calo: 280.0 kcal. Thời gian: 10. Độ khó: Dễ. Nguyên liệu chính: Khoai tây, Hành phi, Bột xù, Bột cà ry, Tiêu, Mù tạt vàng, Hạt nêm ajingon heo, Hành lá cắt nhỏ, Hành tây, Đường. Đặc điểm nổi bật: món không chay kiểu chiên, nổi bật với Khoai tây, Hành phi, Bột xù, Bột cà ry."
M1637,Sườn nướng mật ong,Dinh dưỡng cân bằng,380.0,"Hành băm, Sườn que, Dầu hào, Nước tương, Mật ong, Bột ngọt, Dầu điều, Tiêu, Tỏi băm, Sả băm",True,nướng,"Tên món: Sườn nướng mật ong. Phân loại: Ăn chay được. Kiểu món: nướng. Mục tiêu: Dinh dưỡng cân bằng. Calo: 380.0 kcal. Thời gian: 20. Độ khó: Dễ. Nguyên liệu chính: Hành băm, Sườn que, Dầu hào, Nước tương, Mật ong, Bột ngọt, Dầu điều, Tiêu, Tỏi băm, Sả băm. Đặc điểm nổi bật: món chay kiểu nướng, nổi bật với Hành băm, Sườn que, Dầu hào, Nước tương."
M1066,Chả cua áp chảo,Dinh dưỡng cân bằng,240.0,"Gạch cua, Khoai tây, Cà rốt, Trứng cút, Bột xù, Rau húng quế, Hành tây, Thịt cua, ngò rí, Cà chua, Xà lách, Hành lá, Lá chuối, Muối, tiêu hạt, Dầu ăn, Hạt nêm ajingon heo, Tỏi băm",False,khác,"Tên món: Chả cua áp chảo. Phân loại: Không chay. Kiểu món: khác. Mục tiêu: Dinh dưỡng cân bằng. Calo: 240.0 kcal. Thời gian: 10. Độ khó: Dễ. Nguyên liệu chính: Gạch cua, Khoai tây, Cà rốt, Trứng cút, Bột xù, Rau húng quế, Hành tây, Thịt cua, ngò rí, Cà chua, Xà lách, Hành lá, Lá chuối, Muối, tiêu hạt, Dầu ăn, Hạt nêm ajingon heo, Tỏi băm. Đặc điểm nổi bật: món không chay, nổi bật với Gạch cua, Khoai tây, Cà rốt, Trứng cút."
M0024,Phở sắn xào thập cẩm,Dinh dưỡng cân bằng,280.0,"Hành boa rô, Nấm rơm búp, Cà rốt, bắp non, Dầu ăn, ớt, Tiêu, nước mắm AJINOMOTO Giấm gạo lên men, Đậu Hà Lan trái, Nước tương Phú Sĩ, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, ngò rí, Đường, Hành tây tím, Ớt Đà Lạt đỏ, dầu mè",False,xào,"Tên món: Phở sắn xào thập cẩm. Phân loại: Không chay. Kiểu món: xào. Mục tiêu: Dinh dưỡng cân bằng. Calo: 280.0 kcal. Thời gian: 10. Độ khó: Dễ. Nguyên liệu chính: Hành boa rô, Nấm rơm búp, Cà rốt, bắp non, Dầu ăn, ớt, Tiêu, nước mắm AJINOMOTO Giấm gạo lên men, Đậu Hà Lan trái, Nước tương Phú Sĩ, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, ngò rí, Đường, Hành tây tím, Ớt Đà Lạt đỏ, dầu mè. Đặc điểm nổi bật: món không chay kiểu xào, nổi bật với Hành boa rô, Nấm rơm búp, Cà rốt, bắp non."
M1674,Súp gấc nấm mỡ,Giảm cân / Ăn nhẹ,160.0,"Cà rốt, Củ năng, Gấc chín, Bột năng, Tàu hũ ky, Nấm mỡ trắng, Tiêu, Muối, Dầu ăn, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, Nấm mỡ nâu và nấm mỡ trắng, ngò rí, dầu mè, Đường",True,súp,"Tên món: Súp gấc nấm mỡ. Phân loại: Ăn chay được. Kiểu món: súp. Mục tiêu: Giảm cân / Ăn nhẹ. Calo: 160.0 kcal. Thời gian: 30. Độ khó: Dễ. Nguyên liệu chính: Cà rốt, Củ năng, Gấc chín, Bột năng, Tàu hũ ky, Nấm mỡ trắng, Tiêu, Muối, Dầu ăn, tiêu xanh Hạt nêm Ajingon Nấm Nước tương Phú Sĩ, Nấm mỡ nâu và nấm mỡ trắng, ngò rí, dầu mè, Đường. Đặc điểm nổi bật: món chay kiểu súp, nổi bật với Cà rốt, Củ năng, Gấc chín, Bột năng."
M0034,Cánh gà xào ớt xiêm,Dinh dưỡng cân bằng,280.0,"Cánh gà, Hành lá, Nấm mèo, Cà rốt, Nước mắm, ngò gai, Muối, Bột nghệ, Đường",False,xào,"Tên món: Cánh gà xào ớt xiêm. Phân loại: Không chay. Kiểu món: xào. Mục tiêu: Dinh dưỡng cân bằng. Calo: 280.0 kcal. Thời gian: 15. Độ khó: Dễ. Nguyên liệu chính: Cánh gà, Hành lá, Nấm mèo, Cà rốt, Nước mắm, ngò gai, Muối, Bột nghệ, Đường. Đặc điểm nổi bật: món không chay kiểu xào, nổi bật với Cánh gà, Hành lá, Nấm mèo, Cà rốt."
M0033,Pancake dứa hạnh nhân,Dinh dưỡng cân bằng,250.0,"Dứa, Phúc bồn tử, Hạnh nhân lát, Dùng kèm Trà sữa Royal Blendy",False,khác,"Tên món: Pancake dứa hạnh nhân. Phân loại: Không chay. Kiểu món: khác. Mục tiêu: Dinh dưỡng cân bằng. Calo: 250.0 kcal. Thời gian: 10. Độ khó: Dễ. Nguyên liệu chính: Dứa, Phúc bồn tử, Hạnh nhân lát, Dùng kèm Trà sữa Royal Blendy. Đặc điểm nổi bật: món không chay, nổi bật với Dứa, Phúc bồn tử, Hạnh nhân lát, Dùng kèm Trà sữa Royal Blendy."
M2109,Sườn chiên mayonnaise sa tế,Dinh dưỡng cân bằng,360.0,"Sườn cốt lết, Hành tím băm, Tỏi phi có dầu, Mật ong, sa tế, Dầu ăn, Dưa leo, Cà chua, Hạt nêm ajingon heo, Ớt sừng băm ăn kèm xà lách, Nước mắm",False,chiên,"Tên món: Sườn chiên mayonnaise sa tế. Phân loại: Không chay. Kiểu món: chiên. Mục tiêu: Dinh dưỡng cân bằng. Calo: 360.0 kcal. Thời gian: 20. Độ khó: Dễ. Nguyên liệu chính: Sườn cốt lết, Hành tím băm, Tỏi phi có dầu, Mật ong, sa tế, Dầu ăn, Dưa leo, Cà chua, Hạt nêm ajingon heo, Ớt sừng băm ăn kèm xà lách, Nước mắm. Đặc điểm nổi bật: món không chay kiểu chiên, nổi bật với Sườn cốt lết, Hành tím băm, Tỏi phi có dầu, Mật ong."
M0031,Salad bò dưa kiệu,Giảm cân / Ăn nhẹ,146.0,"Cà chua, Tỏi, Nước cốt hành tỏi, Bò phi lê, nước mắm AJINOMOTO Giấm gạo lên men, Mè rang, Mù tạt vàng, Tiêu trắng xay, Nước tương Phú Sĩ, Hạt nêm ajingon heo, ngò thái rối, Hành tây",False,salad,"Tên món: Salad bò dưa kiệu. Phân loại: Không chay. Kiểu món: salad. Mục tiêu: Giảm cân / Ăn nhẹ. Calo: 146.0 kcal. Thời gian: 10. Độ khó: Dễ. Nguyên liệu chính: Cà chua, Tỏi, Nước cốt hành tỏi, Bò phi lê, nước mắm AJINOMOTO Giấm gạo lên men, Mè rang, Mù tạt vàng, Tiêu trắng xay, Nước tương Phú Sĩ, Hạt nêm ajingon heo, ngò thái rối, Hành tây. Đặc điểm nổi bật: món không chay kiểu salad, nổi bật với Cà chua, Tỏi, Nước cốt hành tỏi, Bò phi lê."
M0957,Súp mộc nhĩ thịt cua,Giảm cân / Ăn nhẹ,120.0,"Mộc nhĩ, Nấm hải sản trắng, Trứng gà, Đậu hủ trắng, Thanh cua, Trứng cút, Thịt cua, Đường phèn, Muối, Dầu màu điều, Tiêu trắng, Hạt nêm ajingon heo, dầu mè",False,súp,"Tên món: Súp mộc nhĩ thịt cua. Phân loại: Không chay. Kiểu món: súp. Mục tiêu: Giảm cân / Ăn nhẹ. Calo: 120.0 kcal. Thời gian: 10. Độ khó: Dễ. Nguyên liệu chính: Mộc nhĩ, Nấm hải sản trắng, Trứng gà, Đậu hủ trắng, Thanh cua, Trứng cút, Thịt cua, Đường phèn, Muối, Dầu màu điều, Tiêu trắng, Hạt nêm ajingon heo, dầu mè. Đặc điểm nổi bật: món không chay kiểu súp, nổi bật với Mộc nhĩ, Nấm hải sản trắng, Trứng gà, Đậu hủ trắng."
M0526,Salad bắp tôm,Dinh dưỡng cân bằng,290.0,"nước mắm AJINOMOTO Giấm gạo lên men, Bắp hạt lon, Dưa leo, Nước cốt chanh, Cà chua bi, Tôm sú, Cần Tây, Bắp mỹ, Cà chua, Mù tạt hạt, Nước chanh, Sữa đặc có đường, Tương cà, Muối, Dầu ô liu, Tiêu, Húng lủi, Hành tây",False,salad,"Tên món: Salad bắp tôm. Phân loại: Không chay. Kiểu món: salad. Mục tiêu: Dinh dưỡng cân bằng. Calo: 290.0 kcal. Thời gian: 15. Độ khó: Dễ. Nguyên liệu chính: nước mắm AJINOMOTO Giấm gạo lên men, Bắp hạt lon, Dưa leo, Nước cốt chanh, Cà chua bi, Tôm sú, Cần Tây, Bắp mỹ, Cà chua, Mù tạt hạt, Nước chanh, Sữa đặc có đường, Tương cà, Muối, Dầu ô liu, Tiêu, Húng lủi, Hành tây. Đặc điểm nổi bật: món không chay kiểu salad, nổi bật với nước mắm AJINOMOTO Giấm gạo lên men, Bắp hạt lon, Dưa leo, Nước cốt chanh."
M2157,Heo nướng bắp cải chua,Dinh dưỡng cân bằng,220.0,"Cần Tây, Thịt nạc dăm, Táo đỏ, Bắp cải tím, Muối, Tiêu, Dầu ăn, Mù tạt vàng, Nước tương Phú Sĩ, Hạt nêm ajingon heo, Tỏi băm, Hành tây, Nước cốt chanh, Đường, nước mắm AJINOMOTO Giấm gạo lên men",False,nướng,"Tên món: Heo nướng bắp cải chua. Phân loại: Không chay. Kiểu món: nướng. Mục tiêu: Dinh dưỡng cân bằng. Calo: 220.0 kcal. Thời gian: 90. Độ khó: Dễ. Nguyên liệu chính: Cần Tây, Thịt nạc dăm, Táo đỏ, Bắp cải tím, Muối, Tiêu, Dầu ăn, Mù tạt vàng, Nước tương Phú Sĩ, Hạt nêm ajingon heo, Tỏi băm, Hành tây, Nước cốt chanh, Đường, nước mắm AJINOMOTO Giấm gạo lên men. Đặc điểm nổi bật: món không chay kiểu nướng, nổi bật với Cần Tây, Thịt nạc dăm, Táo đỏ, Bắp cải tím."
